문제
십에 일을 더한것
육 더하기 팔은
이에 육을 합한 것
팔보다 팔 큰것
구 더하기 삼은
칠 더하기 구는
오 더하기 삼은
칠보다 팔만큼 큰것
삼 더하기 이는
팔 더하기 이는
칠 더하기 삼은
사에 일을 더한 것
일 더하기 십은
칠 더하기 사는
이 더하기 일은
삼 더하기 오는
팔에 십만큼 더 준것
일 더하기 일은
일 더하기 이는
오 보다 팔 큰 것
팔 더하기 삼은
일 더하기 팔은
오 더하기 오는
육 더하기 오는
구 더하기 이는
칠에 십만큼 보탠 것
육보다 일만큼 큰 것
구 더하기 일은
구 더하기 사는
사 더하기 이는
십 더하기 삼은
팔 더하기 오는
삼 더하기 칠은
일 더하기 삼은
사 더하기 칠은
육에 삼을 더 준 것
육 더하기 십은
십에 이를 더 키운것
이 더하기 삼은
육보다 구만큼 큰 것
일 더하기 칠은
십 더하기 구는
팔 더하기 육은
일 더하기 구는
사 더하기 육은
삼 더하기 구는
오 더하기 일은
십 더하기 십은
삼 더하기 십은
이 더하기 사는
구 더하기 팔은
이 더하기 구는
삼 더하기 육은
오 더하기 십은
사 더하기 팔은
이 더하기 오는
오 더하기 사는
구 더하기 칠은
육 더하기 사는
삼 더하기 일은
구 더하기 구는
구 더하기 십은
십 더하기 칠은
이 더하기 칠은
십 더하기 사는
사 더하기 오는
이 더하기 이는
팔 더하기 사는
칠 더하기 칠은
칠 더하기 오는
일 더하기 육은
칠 더하기 이는
오 더하기 육은
육 더하기 이는
삼 더하기 삼은
십 더하기 오는
일 더하기 오는
칠 더하기 육은
십 더하기 육은
구 더하기 오는
오 더하기 칠은
사 더하기 사는
이 더하기 팔은
오 더하기 이는
팔 더하기 칠은
십 더하기 팔은
팔 더하기 일은
이 더하기 십은
십 빼기 삼은
십과 오의 차는
구에서 삼을 빼면
오에서 이를 뺀 것은
구에서 오를 뺀 것은
이보다 일 작은 것
십보다 사만큼 작은 것
오보다 삼 작은 것
칠과 삼의 곱은
사에 삼을 곱하면
오와 사의 곱은
팔과 이를 곱하면
팔과 삼을 곱한 것
이에 사를 곱하면
팔을 이로 나누면
사에서 일을 나누면
구 나누기 
십 나누기 이는
삼을 육에서 빼면
오를 칠에서 빼면
두명이 네 개를 나눠가지면
세명이 아홉개를 나눠가지면
한명이 세개를 나눠가지면
여덞명이 일곱개를 나눠가지면
다섯명이 여섯개를 나눠가지면
일곱명이 다섯개를 나눠가지면
네명이 아홉개를 나눠가지면
다섯명이 열개를 나눠가지면
열명이 한 개를 나눠가지면
